review_id,sentence_id,Time,sentence_type,sentence
222,296,2013-08-31 00:00:00,c,"""I can say there are not lot many downsides for the company but, as there is very close competition between employee to employee the growth opportunities may be very few not reaching most of the employees which inturn reflecting the hikes."""
219,298,2013-09-03 00:00:00,s,"""""excellent"""""
219,299,2013-09-03 00:00:00,p,"""best IT company talented people Friendly Work Culture"""
218,301,2013-09-30 00:00:00,s,"""""Review OF THE CURRENT COMPANY"""""
218,302,2013-09-30 00:00:00,p,"""good place to learn AND EARN"""
217,304,2013-10-18 00:00:00,s,"""""Dream coming true"""""
217,305,2013-10-18 00:00:00,p,"""No time pressure if doing quality job"""
217,306,2013-10-18 00:00:00,c,"""you need to be active to do things"""
216,308,2013-10-22 00:00:00,s,"""""One of the best working place"""""
216,309,2013-10-22 00:00:00,p,"""Very good platform for skill development"""
214,311,2013-11-22 00:00:00,s,"""""great expirence , ambience is really awesome"""""
214,312,2013-11-22 00:00:00,p,"""good environment, challenging profile. exposure is awesome, pay is the best among the industry,"""
215,314,2013-12-04 00:00:00,s,"""""Analyst"""""
215,315,2013-12-04 00:00:00,p,"""Smart Company to work for"""
215,316,2013-12-04 00:00:00,c,"""Seeing a down turn...over innovative"""
213,318,2013-12-13 00:00:00,s,"""""Great experience, not great growth propsects"""""
213,319,2013-12-13 00:00:00,p,"""Fun atmosphere, super smart minds, loads to learn"""
212,321,2013-12-15 00:00:00,s,"""""Good"""""
212,322,2013-12-15 00:00:00,p,"""super food sooper cool high pay etc"""
212,323,2013-12-15 00:00:00,c,"""nothing that i can think of"""
211,325,2014-01-02 00:00:00,s,"""""Life changing"""""
211,326,2014-01-02 00:00:00,p,"""Ability to make a diiference"""
209,328,2014-01-03 00:00:00,s,"""""Great place to work"""""
209,329,2014-01-03 00:00:00,p,"""Everything is good - work culture,environment and salary."""
208,331,2014-01-04 00:00:00,s,"""""6 years of background as Team Lead with hands on experience in team management, management reports"""""
208,332,2014-01-04 00:00:00,p,"""It is a Dynamic organization, project planning, time management, and has multi-tasking abilities."""
210,334,2014-01-06 00:00:00,s,"""""Awesome"""""
210,335,2014-01-06 00:00:00,p,"""Facility are very Good,but I can't Compromise with this with salary offering."""
210,336,2014-01-06 00:00:00,c,"""Working on Contract Based whi"""
206,338,2014-01-10 00:00:00,s,"""""Awesome love the work with Google Adsense"""""
206,339,2014-01-10 00:00:00,p,"""The Google Network has some cool features that should concern its competition. For starters, it can disclose the sites you run ads on and report performance on a site-by-site basis. This enables you to focus buys on those sites (inventory allowing). An inability to see where your ads appear has always been a barrier for some advertisers."""
206,340,2014-01-10 00:00:00,c,"""One drawback is there are no inventory level guarantees. This is true of any network, but with Google it can get even more difficult as you can't reserve inventory (expensive home page buyouts aside). A bidder can bump you out of certain placements by bidding higher and raising his maximum CPM."""
207,342,2014-01-20 00:00:00,s,"""""very good"""""
207,343,2014-01-20 00:00:00,p,"""exellent work enviornment good people to work with low work load"""
205,345,2014-01-21 00:00:00,s,"""""great"""""
205,346,2014-01-21 00:00:00,p,"""culture, benefits, perks, facilities, opportunity"""
203,348,2014-02-10 00:00:00,s,"""""a great learning experience"""""
203,349,2014-02-10 00:00:00,p,"""great work atmosphere, cool managers, work timing flexibility"""
203,350,2014-02-10 00:00:00,c,"""work gets mundane after a point of time."""
204,352,2014-02-10 00:00:00,s,"""""ok ok short off"""""
204,353,2014-02-10 00:00:00,p,"""Great brand name and hence its good"""
204,354,2014-02-10 00:00:00,c,"""Nothing as such as the brand name is too good"""
202,356,2014-02-20 00:00:00,s,"""""Fantastic!"""""
202,357,2014-02-20 00:00:00,p,"""Professional and personal development. Access to latest research in the industry."""
202,358,2014-02-20 00:00:00,c,"""Can't think of working else where :("""
201,360,2014-03-08 00:00:00,s,"""""A wonderful experience working with Google."""""
201,361,2014-03-08 00:00:00,p,"""Work atmosphere is pleasant . All associates and Managers behave like freinds but at work times they are official ."""
201,362,2014-03-08 00:00:00,c,"""For working in Google the main criteria is that you need to have good communication skills to interact with business delegates. When we handle our responsibilities and total effort then we are also been rewarded with incentives.You find a growing career in the organisation."""
199,364,2014-04-01 00:00:00,s,"""""They care about employees"""""
199,365,2014-04-01 00:00:00,p,"""Amazing culture Learning opportunities Work-life balance Great managers (most of the times)"""
200,367,2014-04-03 00:00:00,s,"""""Good company to work for"""""
200,368,2014-04-03 00:00:00,p,"""Good place to be yourself, to be able to perform at your best!"""
198,370,2014-04-26 00:00:00,s,"""""The best office culture and friendly environment ever seen."""""
198,371,2014-04-26 00:00:00,p,"""Relaxing job, Stressing handling job, Can have a break when ever feel a bit stressed, Do have stress busters games."""
198,372,2014-04-26 00:00:00,c,"""A bit of annoying arguments between the employees of different vendors. But healthy comversations"""
197,374,2014-05-21 00:00:00,s,"""""Good"""""
197,375,2014-05-21 00:00:00,p,"""good company to work for, great salary - much higher then market salaries, awesome food (but, that everybody knows i guess), lots of perks, extremely smart co-workers, I like it here."""
